solver,difficulty,attempted,correct,correct_pct,avg_time_ms,std_dev_ms,avg_cell_accuracy_pct,std_cell_accuracy_pct
python,Easy,100,100,100.0,1.916,0.448,,
python,Medium,100,100,100.0,2.277,0.477,,
python,Hard,100,100,100.0,3.170,1.252,,
python,Diabolical,100,100,100.0,3.746,1.841,,
prolog,Easy,100,100,100.0,171.309,7.937,,
prolog,Medium,100,100,100.0,170.839,6.534,,
prolog,Hard,100,100,100.0,171.403,6.289,,
prolog,Diabolical,100,100,100.0,174.029,7.036,,
clingo,Easy,100,100,100.0,15.238,2.526,,
clingo,Medium,100,100,100.0,14.444,1.689,,
clingo,Hard,100,100,100.0,15.117,2.400,,
clingo,Diabolical,100,100,100.0,11.048,2.641,,
nn,Easy,100,51,51.0,6.489,2.436,94.1,8.7
nn,Medium,100,10,10.0,6.347,1.049,83.0,11.2
nn,Hard,100,1,1.0,6.426,1.161,75.3,12.3
nn,Diabolical,100,2,2.0,5.752,1.059,70.2,13.9
